id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14842,Portobello Gem. Entire house. Can sleep 3.,58344,Hilary,,Dublin City,53.33106,-6.26916,Entire home/apt,119,3,43,2019-02-07,0.43,1,5
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.28995,-6.25813,Hotel room,50,3,213,2019-09-22,2.05,3,263
69785,Number Nine :  Ballsbridge,205636,Marie-Louise,,Dublin City,53.33149,-6.23215,Entire home/apt,130,2,183,2019-08-28,1.75,2,0
85148,Habitación en Dublín Double room,466111,Don,,South Dublin,53.3011,-6.31992,Private room,30,1,1,2019-05-11,0.22,1,267
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178,-6.25618,Hotel room,50,3,163,2019-09-21,1.60,3,274
121030,Comfy double room in central area 1,608225,Norah,,Dublin City,53.33648,-6.22075,Private room,55,2,110,2019-03-19,1.09,3,18
159889,Friendly Single Room,766611,Margaret,,Dublin City,53.38988,-6.2362,Private room,29,1,298,2019-09-23,3.26,3,284
162809,5.5 miles south of Dublin City :^),777681,Robbie,,Dn Laoghaire-Rathdown,53.28445,-6.19094,Private room,55,1,266,2019-09-22,5.06,2,76
165828,Pádraig Pearse apt. Kilmainham,790601,Grainne,,Dublin City,53.3363,-6.32439,Entire home/apt,147,3,38,2019-09-06,0.39,5,282
165829,"The ""Michael Collins"" apartment",790601,Grainne,,Dublin City,53.33811,-6.32259,Entire home/apt,135,3,51,2019-06-29,0.55,5,272
178860,Georgian House in Heart of City Ctr,856312,Danielle,,Dublin City,53.33282,-6.26821,Private room,56,2,300,2019-09-16,3.49,2,123
181823,comfy room near beach/town2,608225,Norah,,Dublin City,53.3365,-6.22066,Private room,75,2,90,2019-09-11,1.01,3,0
200979,"""The Lodge, Dalkey Avenue .""",982970,Paul,,Dn Laoghaire-Rathdown,53.2742,-6.10917,Entire home/apt,220,2,132,2019-09-22,1.47,1,72
237465,Cozy warm Annexe 10 mins to airport. total privacy,1245198,Amanda,,Dublin City,53.39615,-6.17456,Entire home/apt,55,2,245,2019-09-18,2.59,2,221
245893,Double warm cosy bedroom in Lucan,1289720,Sheila,,South Dublin,53.34471,-6.41602,Private room,45,30,16,2016-08-29,0.17,2,267
245903,Single cosy bedroom in Lucan.,1289720,Sheila,,South Dublin,53.34636,-6.41734,Private room,30,1,32,2019-09-08,0.37,2,166
246560,Portobello Retreat,435734,Conor,,Dublin City,53.33001,-6.27186,Private room,59,5,77,2019-07-29,0.90,3,1
254941,Cosy Double Room in South Dublin Home from Home,1339322,Rachel,,Dn Laoghaire-Rathdown,53.27903,-6.18898,Private room,50,1,158,2019-08-31,1.66,2,333
261248,Ensuite Rooms,1370323,Brian And Phyllis,,Dn Laoghaire-Rathdown,53.28581,-6.12321,Private room,36,1,195,2019-09-22,2.04,5,338
266654,small & cosy room for short stays,1398274,Joanne,,Dublin City,53.3915,-6.29314,Private room,35,2,57,2019-09-08,0.67,1,116
266856,Award Winning Bed & Breakfast...Rm1,1370323,Brian And Phyllis,,Dn Laoghaire-Rathdown,53.28502,-6.12365,Private room,36,1,126,2019-09-06,1.59,5,330
266908,Award Winning Bed & Breakfast...Rm4,1370323,Brian And Phyllis,,Dn Laoghaire-Rathdown,53.2851,-6.12402,Private room,36,1,57,2019-08-02,0.67,5,340
266935,An award winning B&B near Dublin...,1370323,Brian And Phyllis,,Dn Laoghaire-Rathdown,53.28414,-6.12344,Private room,80,1,57,2019-09-02,0.77,5,346
275425,Luxury family home with all amenities (6 persons),1357428,Emma And Chris,,Dublin City,53.3267,-6.20921,Entire home/apt,275,3,7,2019-07-07,0.08,1,33
292757,Old World Converted Stableyard with Swimming Pool,1515549,Sarah,,Fingal,53.36958,-6.34959,Entire home/apt,120,1,304,2019-09-22,3.53,1,158
302554,Peaceful retreat for 5 - excellent location,1557844,Liam And Fiona,,Dublin City,53.35628,-6.28981,Entire home/apt,180,2,55,2019-08-25,0.60,8,338
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,1557844,Liam And Fiona,,Dublin City,53.35561,-6.29149,Entire home/apt,100,2,79,2019-07-06,0.86,8,283
315698,"City Penthouse, Own Balcony, Shower",1625811,Tracey,,Dublin City,53.3398,-6.2266,Private room,44,3,231,2019-08-17,2.62,1,47
333950,Best location in Dublin City Centre,1607393,Daragh,,Dublin City,53.3411,-6.27318,Private room,60,2,212,2019-09-13,2.34,3,17
345398,Cosy Double Bedroom in South Dublin Home from Home,1339322,Rachel,,Dn Laoghaire-Rathdown,53.28065,-6.19078,Private room,50,1,35,2019-07-31,1.00,2,124
365854,Boutique Cosy Centre Apartment,1847391,Diane,,Dublin City,53.35305,-6.25708,Entire home/apt,85,2,173,2019-08-11,1.89,1,235
374792,"'Grace Gifford' cottage, Kilmainham",790601,Grainne,,Dublin City,53.3368,-6.3241,Entire home/apt,135,3,28,2019-06-30,0.32,5,305
386860,"Stylish Canal Side Cottage, Portobello Dublin",1935798,Sinead,,Dublin City,53.33759,-6.2746,Entire home/apt,150,1,80,2019-09-09,0.92,1,40
393631,Dublin - more than meets the eye!,1968168,Mick & Dee,,Dublin City,53.35796,-6.24145,Entire home/apt,180,3,72,2017-03-19,0.83,1,0
419987,Stunning Victorian apartment slps 6 - James Joyce,1557844,Liam And Fiona,,Dublin City,53.35651,-6.29229,Entire home/apt,200,2,89,2019-09-22,1.06,8,316
420297,COZY Comfortable Irish Cottage twin room,193005,Teresa,,Dn Laoghaire-Rathdown,53.2907,-6.25763,Hotel room,50,3,188,2019-09-17,2.12,3,259
421239,Attic room with a View &  Private Bathroom.,1976386,Noeleen,,Dublin City,53.36638,-6.27375,Private room,90,3,130,2019-09-20,1.47,1,63
424596,Very Special Oval Georgian Studio,2110301,Karin,,Dublin City,53.35456,-6.25886,Entire home/apt,110,2,392,2019-09-11,4.43,4,62
426326,Large Room With Double & Single Bed,766611,Margaret,,Dublin City,53.38909,-6.23667,Private room,38,2,218,2019-09-22,2.47,3,73
427077,Unique Oval Georgian Studio Gr. Fl.,2110301,Karin,,Dublin City,53.35593,-6.25751,Entire home/apt,110,2,415,2019-09-02,4.60,4,58
427495,Lovely Double Room in the Attic,766611,Margaret,,Dublin City,53.39006,-6.23636,Private room,38,2,149,2019-09-22,1.73,3,243
451611,Perfect Location City Centre Apartment,1607393,Daragh,,Dublin City,53.34109,-6.27175,Entire home/apt,83,1,534,2019-09-19,5.99,3,1
454183,Funky Studio & Loft near City Centre,408378,Eddie,,Dublin City,53.35391,-6.298,Entire home/apt,80,3,63,2019-09-22,2.29,4,0
460461,"Horse riding, Golf, Gym & leisure.",2289306,Maria,,Fingal,53.40507,-6.25185,Entire home/apt,200,7,4,2013-06-24,0.05,1,318
468082,"A little bit of country in the city, Fairy House",2115318,Siobhan,,South Dublin,53.35349,-6.45184,Private room,70,1,187,2019-09-12,2.18,2,301
497136,Spacious Double Room near beach 3,608225,Norah,,Dublin City,53.33765,-6.21984,Private room,55,2,113,2019-07-26,1.31,3,262
519416,Amazing City Center Private Room,2556184,Sonia,,Dublin City,53.34773,-6.26858,Private room,52,2,233,2019-09-21,2.63,1,100
522667,"Interesting, Spacious Georgian Flat",2110301,Karin,,Dublin City,53.35526,-6.25734,Entire home/apt,110,2,338,2019-09-07,3.83,4,57
526767,Designer Apt in the heart of Dublin,2340296,Dardo,,Dublin City,53.34769,-6.26388,Entire home/apt,140,1,471,2019-09-10,5.48,1,238
536320,Amazing views in centre of Dublin,1334552,Alison,,Dublin City,53.34948,-6.27997,Private room,50,3,232,2019-09-08,2.66,2,149
